qx,qy,reference_mode,candidate_mode,reference_frequency_thz,candidate_frequency_thz,single_overlap_squared,subspace_dimension,subspace_minimum_overlap_squared,basis_dependent
0.0,0.0,1,3,-3.1682551419558503e-07,3.747398755183927e-07,0.9928976500361463,3,0.9999999999999987,True
0.0,0.0,2,2,-3.134603390881941e-07,2.0568576446083645e-07,0.9892976710313868,3,0.9999999999999987,True
0.0,0.0,3,1,5.532286409126702e-08,-1.469982726300972e-07,0.9955963563526281,3,0.9999999999999987,True
0.0,0.0,4,5,8.531381238395019,8.440705829293464,0.5582209934000026,2,0.9999624564672186,True
0.0,0.0,5,4,8.531416561317387,8.440663617614096,0.5582211122218682,2,0.9999624564672186,True
0.0,0.0,6,7,10.141611490106381,10.032180883909263,0.7830853121406784,2,0.9999624565609746,True
0.0,0.0,7,6,10.141766475549648,10.03199093245851,0.7830850526604322,2,0.9999624565609746,True
0.0,0.0,8,8,12.136574319637424,12.181908674355657,0.9999999900036045,1,0.9999999900036043,False
0.0,0.0,9,9,12.725352558950567,12.70196230226539,0.99999999050316,1,0.99999999050316,False
0.0,0.16666666666666666,1,1,1.1480729096933706,1.1374186907359407,0.9999494254177069,1,0.9999494254177067,False
0.0,0.16666666666666666,2,2,1.9890948181519468,1.9974495125957643,0.9999376776200571,1,0.9999376776200571,False
0.0,0.16666666666666666,3,3,3.0560469757083313,3.0418189370215614,0.9999874278417655,1,0.9999874278417658,False
0.0,0.16666666666666666,4,4,8.713200660571076,8.627975862145288,0.9999340806637128,1,0.9999340806637128,False
0.0,0.16666666666666666,5,5,9.163920031189049,9.101351710951999,0.9998766104800196,1,0.9998766104800196,False
0.0,0.16666666666666666,6,6,10.045560419816956,9.949361651013684,0.9998268853757557,1,0.9998268853757559,False
0.0,0.16666666666666666,7,7,10.148563532695974,10.08731458561737,0.9999302086132906,1,0.9999302086132902,False
0.0,0.16666666666666666,8,8,12.015996892757443,12.050140682113964,0.9999884788720631,1,0.9999884788720631,False
0.0,0.16666666666666666,9,9,12.126709621453639,12.077744669586837,0.9998872072110355,1,0.9998872072110355,False
