reference_channel,reason
M_p6_m7__Gamma_4_5,finite-q degenerate branch
M_p6_m7__Gamma_6_7,finite-q degenerate branch
M_p6_m7__Gamma_8,finite-q degenerate branch
M_p6_m7__Gamma_9,finite-q degenerate branch
M_p6_m8__Gamma_4_5,finite-q degenerate branch
M_p6_m8__Gamma_6_7,finite-q degenerate branch
M_p6_m8__Gamma_8,finite-q degenerate branch
M_p6_m8__Gamma_9,finite-q degenerate branch
