reference_channel,candidate_channel,qx,qy,gamma_dimension,target_overlap_squared,gamma_minimum_overlap_squared,reference_selected,candidate_selected,reference_screen_phi122_norm,reference_refined_phi122_norm,reference_refined_phi1122_trace,candidate_screen_phi122_norm,candidate_refined_phi122_norm,candidate_refined_phi1122_trace
line_p1_m9__Gamma_6,line_p1_m9__Gamma_6,0.0,0.16666666666666666,1,0.9999215876902179,0.9999999987846697,True,True,13.441324234008789,13.50686209542483,0.3771100725445675,13.50259780883789,13.511330740791845,0.059478136958307504
line_p1_m9__Gamma_7_8,line_p1_m9__Gamma_7_8,0.0,0.16666666666666666,2,0.9999215876902179,0.999999992710711,False,False,0.6450625600169774,,,0.811461197808976,,
line_p1_m9__Gamma_9,line_p1_m9__Gamma_9,0.0,0.16666666666666666,1,0.9999215876902179,0.9999999984151584,False,False,0.0064373016357421875,,,0.04863739013671875,,
line_p2_m1__Gamma_4_5,line_p2_m1__Gamma_4_5,0.16666666666666666,0.16666666666666666,2,0.9997922822250608,0.9999999931429784,False,False,0.04415960062589878,,,0.004978326086478495,,
line_p2_m1__Gamma_6,line_p2_m1__Gamma_6,0.16666666666666666,0.16666666666666666,1,0.9997922822250608,0.9999999987846697,False,False,0.7982254028320312,,,0.5960464477539062,,
line_p2_m1__Gamma_7_8,line_p2_m1__Gamma_7_8,0.16666666666666666,0.16666666666666666,2,0.9997922822250608,0.999999992710711,False,False,0.12667455307620082,,,0.19710526951784457,,
line_p2_m1__Gamma_9,line_p2_m1__Gamma_9,0.16666666666666666,0.16666666666666666,1,0.9997922822250608,0.9999999984151584,False,False,0.020742416381835938,,,0.009059906005859375,,
line_p2_m2__Gamma_4_5,line_p2_m2__Gamma_4_5,0.16666666666666666,0.16666666666666666,2,0.9945506393308697,0.9999999931429784,False,False,0.045659492223840976,,,0.014588411846903186,,
line_p2_m2__Gamma_6,line_p2_m2__Gamma_6,0.16666666666666666,0.16666666666666666,1,0.9945506393308697,0.9999999987846697,False,False,0.1766681671142578,,,0.11706352233886719,,
line_p2_m2__Gamma_7_8,line_p2_m2__Gamma_7_8,0.16666666666666666,0.16666666666666666,2,0.9945506393308697,0.999999992710711,False,False,0.16982918720303045,,,0.12222899985482466,,
line_p2_m2__Gamma_9,line_p2_m2__Gamma_9,0.16666666666666666,0.16666666666666666,1,0.9945506393308697,0.9999999984151584,False,False,0.008344650268554688,,,0.003337860107421875,,
line_p2_m3__Gamma_4_5,line_p2_m3__Gamma_4_5,0.16666666666666666,0.16666666666666666,2,0.9943146813405791,0.9999999931429784,False,False,0.05313258467553757,,,0.015146618055599777,,
line_p2_m3__Gamma_6,line_p2_m3__Gamma_6,0.16666666666666666,0.16666666666666666,1,0.9943146813405791,0.9999999987846697,False,False,0.2181529998779297,,,0.35190582275390625,,
line_p2_m3__Gamma_7_8,line_p2_m3__Gamma_7_8,0.16666666666666666,0.16666666666666666,2,0.9943146813405791,0.999999992710711,False,False,0.33091133169200726,,,0.39393401911855275,,
line_p2_m3__Gamma_9,line_p2_m3__Gamma_9,0.16666666666666666,0.16666666666666666,1,0.9943146813405791,0.9999999984151584,False,False,0.0035762786865234375,,,0.03886222839355469,,
line_p2_m4__Gamma_4_5,line_p2_m4__Gamma_4_5,0.16666666666666666,0.16666666666666666,2,0.9982501230754035,0.9999999931429784,False,False,0.02030341039280297,,,0.022540330028149588,,
line_p2_m4__Gamma_6,line_p2_m4__Gamma_6,0.16666666666666666,0.16666666666666666,1,0.9982501230754035,0.9999999987846697,False,False,2.895832061767578,,,3.021717071533203,,
line_p2_m4__Gamma_7_8,line_p2_m4__Gamma_7_8,0.16666666666666666,0.16666666666666666,2,0.9982501230754035,0.999999992710711,False,False,1.792604862794849,,,1.3770048477358472,,
line_p2_m4__Gamma_9,line_p2_m4__Gamma_9,0.16666666666666666,0.16666666666666666,1,0.9982501230754035,0.9999999984151584,False,False,0.0026226043701171875,,,0.023126602172851562,,
line_p2_m5__Gamma_4_5,line_p2_m5__Gamma_4_5,0.16666666666666666,0.16666666666666666,2,0.998504676533752,0.9999999931429784,False,False,0.05731971397481588,,,0.02441201350435296,,
line_p2_m5__Gamma_6,line_p2_m5__Gamma_6,0.16666666666666666,0.16666666666666666,1,0.998504676533752,0.9999999987846697,False,False,3.9424896240234375,,,3.9987564086914062,,
line_p2_m5__Gamma_7_8,line_p2_m5__Gamma_7_8,0.16666666666666666,0.16666666666666666,2,0.998504676533752,0.999999992710711,False,False,2.293392778412274,,,2.1460297874224312,,
line_p2_m5__Gamma_9,line_p2_m5__Gamma_9,0.16666666666666666,0.16666666666666666,1,0.998504676533752,0.9999999984151584,False,False,0.013589859008789062,,,0.0,,
line_p2_m6__Gamma_4_5,line_p2_m6__Gamma_4_5,0.16666666666666666,0.16666666666666666,2,0.997188591938813,0.9999999931429784,False,False,0.028420854702349854,,,0.0017192608239479015,,
line_p2_m6__Gamma_6,line_p2_m6__Gamma_6,0.16666666666666666,0.16666666666666666,1,0.997188591938813,0.9999999987846697,False,False,4.5299530029296875,,,4.592418670654297,,
line_p2_m6__Gamma_7_8,line_p2_m6__Gamma_7_8,0.16666666666666666,0.16666666666666666,2,0.997188591938813,0.999999992710711,False,False,1.0202354728580472,,,1.1122828750425782,,
line_p2_m6__Gamma_9,line_p2_m6__Gamma_9,0.16666666666666666,0.16666666666666666,1,0.997188591938813,0.9999999984151584,False,False,0.0095367431640625,,,0.007152557373046875,,
line_p2_m9__Gamma_4_5,line_p2_m9__Gamma_4_5,0.16666666666666666,0.16666666666666666,2,0.9996341819729946,0.9999999931429784,False,False,0.03256923455289575,,,0.019264752314582596,,
line_p2_m9__Gamma_6,line_p2_m9__Gamma_6,0.16666666666666666,0.16666666666666666,1,0.9996341819729946,0.9999999987846697,True,True,12.235403060913086,12.301090785435829,0.19649583466208043,12.397289276123047,12.396785191126622,0.17750019929843597
line_p2_m9__Gamma_7_8,line_p2_m9__Gamma_7_8,0.16666666666666666,0.16666666666666666,2,0.9996341819729946,0.999999992710711,False,False,1.2851776532365677,,,1.5799260974868836,,
line_p2_m9__Gamma_9,line_p2_m9__Gamma_9,0.16666666666666666,0.16666666666666666,1,0.9996341819729946,0.9999999984151584,False,False,0.0019073486328125,,,0.02384185791015625,,
line_p3_m3__Gamma_4_5,line_p3_m3__Gamma_4_5,0.16666666666666666,0.3333333333333333,2,0.9600636282466887,0.9999999931429784,False,False,0.03693949471437984,,,0.012273347545846702,,
line_p3_m3__Gamma_6,line_p3_m3__Gamma_6,0.16666666666666666,0.3333333333333333,1,0.9600636282466887,0.9999999987846697,False,False,0.6182193756103516,,,0.8404254913330078,,
line_p3_m3__Gamma_7_8,line_p3_m3__Gamma_7_8,0.16666666666666666,0.3333333333333333,2,0.9600636282466887,0.999999992710711,False,False,0.212834490837782,,,0.1023393525565069,,
line_p3_m3__Gamma_9,line_p3_m3__Gamma_9,0.16666666666666666,0.3333333333333333,1,0.9600636282466887,0.9999999984151584,False,False,0.0073909759521484375,,,0.01049041748046875,,
line_p3_m4__Gamma_4_5,line_p3_m4__Gamma_4_5,0.16666666666666666,0.3333333333333333,2,0.996383002201199,0.9999999931429784,False,False,0.019904738869420815,,,0.010315564943687409,,
line_p3_m4__Gamma_6,line_p3_m4__Gamma_6,0.16666666666666666,0.3333333333333333,1,0.996383002201199,0.9999999987846697,False,False,2.9783248901367188,,,3.1251907348632812,,
line_p3_m4__Gamma_7_8,line_p3_m4__Gamma_7_8,0.16666666666666666,0.3333333333333333,2,0.996383002201199,0.999999992710711,False,False,2.4762616179840196,,,2.6130269475540997,,
line_p3_m4__Gamma_9,line_p3_m4__Gamma_9,0.16666666666666666,0.3333333333333333,1,0.996383002201199,0.9999999984151584,False,False,0.012636184692382812,,,0.003337860107421875,,
line_p3_m5__Gamma_4_5,line_p3_m5__Gamma_4_5,0.16666666666666666,0.3333333333333333,2,0.9959132367856237,0.9999999931429784,False,False,0.029413548494894286,,,0.007539457464619587,,
line_p3_m5__Gamma_6,line_p3_m5__Gamma_6,0.16666666666666666,0.3333333333333333,1,0.9959132367856237,0.9999999987846697,False,False,3.8771629333496094,,,3.902435302734375,,
line_p3_m5__Gamma_7_8,line_p3_m5__Gamma_7_8,0.16666666666666666,0.3333333333333333,2,0.9959132367856237,0.999999992710711,False,False,3.24778374940733,,,3.5461027685902273,,
line_p3_m5__Gamma_9,line_p3_m5__Gamma_9,0.16666666666666666,0.3333333333333333,1,0.9959132367856237,0.9999999984151584,False,False,0.012874603271484375,,,0.025272369384765625,,
line_p3_m6__Gamma_4_5,line_p3_m6__Gamma_4_5,0.16666666666666666,0.3333333333333333,2,0.9966484568598043,0.9999999931429784,False,False,0.04720447033220131,,,0.02648485961341632,,
line_p3_m6__Gamma_6,line_p3_m6__Gamma_6,0.16666666666666666,0.3333333333333333,1,0.9966484568598043,0.9999999987846697,False,False,2.9151439666748047,,,3.1058788299560547,,
line_p3_m6__Gamma_7_8,line_p3_m6__Gamma_7_8,0.16666666666666666,0.3333333333333333,2,0.9966484568598043,0.999999992710711,False,False,1.5547526902587403,,,1.4979372005103824,,
line_p3_m6__Gamma_9,line_p3_m6__Gamma_9,0.16666666666666666,0.3333333333333333,1,0.9966484568598043,0.9999999984151584,False,False,0.009775161743164062,,,0.006198883056640625,,
line_p3_m9__Gamma_4_5,line_p3_m9__Gamma_4_5,0.16666666666666666,0.3333333333333333,2,0.998814011198671,0.9999999931429784,False,False,0.0732224563257084,,,0.03149472430616118,,
line_p3_m9__Gamma_6,line_p3_m9__Gamma_6,0.16666666666666666,0.3333333333333333,1,0.998814011198671,0.9999999987846697,True,True,11.14964485168457,11.215482439314096,0.09295405173820326,11.274576187133789,11.269814627510604,0.09746940768495804
line_p3_m9__Gamma_7_8,line_p3_m9__Gamma_7_8,0.16666666666666666,0.3333333333333333,2,0.998814011198671,0.999999992710711,False,False,1.7935146283599852,,,2.154014803711136,,
line_p3_m9__Gamma_9,line_p3_m9__Gamma_9,0.16666666666666666,0.3333333333333333,1,0.998814011198671,0.9999999984151584,False,False,0.030755996704101562,,,0.011205673217773438,,
K_p4_m1__Gamma_4_5,K_p4_m2__Gamma_4_5,0.3333333333333333,0.3333333333333333,2,0.999776947894994,0.9999999931429784,False,False,0.009775161743164062,,,0.022544112491612627,,
K_p4_m1__Gamma_6,K_p4_m2__Gamma_6,0.3333333333333333,0.3333333333333333,1,0.999776947894994,0.9999999987846697,False,False,2.4154186248779297,,,2.4862289428710938,,
K_p4_m1__Gamma_7_8,K_p4_m2__Gamma_7_8,0.3333333333333333,0.3333333333333333,2,0.999776947894994,0.999999992710711,False,False,0.027682234910905455,,,0.022089452403832376,,
K_p4_m1__Gamma_9,K_p4_m2__Gamma_9,0.3333333333333333,0.3333333333333333,1,0.999776947894994,0.9999999984151584,False,False,0.0,,,0.0064373016357421875,,
K_p4_m2__Gamma_4_5,K_p4_m1__Gamma_4_5,0.3333333333333333,0.3333333333333333,2,0.9984377869463816,0.9999999931429784,False,False,0.015990049969775405,,,0.022829746111920488,,
K_p4_m2__Gamma_6,K_p4_m1__Gamma_6,0.3333333333333333,0.3333333333333333,1,0.9984377869463816,0.9999999987846697,False,False,3.002643585205078,,,2.9473304748535156,,
K_p4_m2__Gamma_7_8,K_p4_m1__Gamma_7_8,0.3333333333333333,0.3333333333333333,2,0.9984377869463816,0.999999992710711,False,False,0.03473063990522412,,,0.015728399755926745,,
K_p4_m2__Gamma_9,K_p4_m1__Gamma_9,0.3333333333333333,0.3333333333333333,1,0.9984377869463816,0.9999999984151584,False,False,0.005245208740234375,,,0.008106231689453125,,
K_p4_m3__Gamma_4_5,K_p4_m3__Gamma_4_5,0.3333333333333333,0.3333333333333333,2,0.999990697746629,0.9999999931429784,False,False,0.010990553447357282,,,0.024515412858349402,,
K_p4_m3__Gamma_6,K_p4_m3__Gamma_6,0.3333333333333333,0.3333333333333333,1,0.999990697746629,0.9999999987846697,False,False,1.7211437225341797,,,1.7101764678955078,,
K_p4_m3__Gamma_7_8,K_p4_m3__Gamma_7_8,0.3333333333333333,0.3333333333333333,2,0.999990697746629,0.999999992710711,False,False,0.03838613165858036,,,0.021882617770354777,,
K_p4_m3__Gamma_9,K_p4_m3__Gamma_9,0.3333333333333333,0.3333333333333333,1,0.999990697746629,0.9999999984151584,False,False,0.003814697265625,,,0.013589859008789062,,
K_p4_m4__Gamma_4_5,K_p4_m4__Gamma_4_5,0.3333333333333333,0.3333333333333333,2,0.9999997339934091,0.9999999931429784,False,False,0.008429369702178807,,,0.020819007392612672,,
K_p4_m4__Gamma_6,K_p4_m4__Gamma_6,0.3333333333333333,0.3333333333333333,1,0.9999997339934091,0.9999999987846697,True,True,9.843587875366211,9.843553815569456,0.17002650669653563,9.828329086303711,9.829711914062214,0.21891691246810063
K_p4_m4__Gamma_7_8,K_p4_m4__Gamma_7_8,0.3333333333333333,0.3333333333333333,2,0.9999997339934091,0.999999992710711,False,False,0.006650126305094411,,,0.03137718940040989,,
K_p4_m4__Gamma_9,K_p4_m4__Gamma_9,0.3333333333333333,0.3333333333333333,1,0.9999997339934091,0.9999999984151584,False,False,0.01621246337890625,,,0.012636184692382812,,
K_p4_m8__Gamma_4_5,K_p4_m9__Gamma_4_5,0.3333333333333333,0.3333333333333333,2,0.9984377673375144,0.9999999931429784,False,False,0.012273347545846702,,,0.03320444175444352,,
K_p4_m8__Gamma_6,K_p4_m9__Gamma_6,0.3333333333333333,0.3333333333333333,1,0.9984377673375144,0.9999999987846697,True,True,21.577835083007812,21.582794189453534,0.6673384685909334,21.474599838256836,21.480614798409114,0.6569064393336932
K_p4_m8__Gamma_7_8,K_p4_m9__Gamma_7_8,0.3333333333333333,0.3333333333333333,2,0.9984377673375144,0.999999992710711,False,False,0.027665802626361303,,,0.04118780150095359,,
K_p4_m8__Gamma_9,K_p4_m9__Gamma_9,0.3333333333333333,0.3333333333333333,1,0.9984377673375144,0.9999999984151584,False,False,0.0059604644775390625,,,0.0011920928955078125,,
line_p5_m1__Gamma_4_5,line_p5_m1__Gamma_4_5,0.3333333333333333,0.6666666666666666,2,0.9999645234118412,0.9999999931429784,False,False,0.01337058533936496,,,0.0259657426450322,,
line_p5_m1__Gamma_6,line_p5_m1__Gamma_6,0.3333333333333333,0.6666666666666666,1,0.9999645234118412,0.9999999987846697,False,False,0.5917549133300781,,,0.5609989166259766,,
line_p5_m1__Gamma_7_8,line_p5_m1__Gamma_7_8,0.3333333333333333,0.6666666666666666,2,0.9999645234118412,0.999999992710711,False,False,1.3827115248467134,,,1.3892936196246874,,
line_p5_m1__Gamma_9,line_p5_m1__Gamma_9,0.3333333333333333,0.6666666666666666,1,0.9999645234118412,0.9999999984151584,False,False,0.0054836273193359375,,,0.010728836059570312,,
line_p5_m2__Gamma_4_5,line_p5_m2__Gamma_4_5,0.3333333333333333,0.6666666666666666,2,0.999865349610667,0.9999999931429784,False,False,0.008901669837281452,,,0.030880498616585116,,
line_p5_m2__Gamma_6,line_p5_m2__Gamma_6,0.3333333333333333,0.6666666666666666,1,0.999865349610667,0.9999999987846697,False,False,1.2650489807128906,,,1.222848892211914,,
