qx,qy,reference_mode,candidate_mode,reference_frequency_thz,candidate_frequency_thz,single_overlap_squared,subspace_dimension,subspace_minimum_overlap_squared,basis_dependent
0.0,0.0,1,3,-1.6451246495385675e-07,3.747398755183927e-07,0.9981199801827455,3,0.9999999999999989,True
0.0,0.0,2,1,-5.524257130762699e-08,-1.469982726300972e-07,0.9980796152634731,3,0.9999999999999989,True
0.0,0.0,3,2,1.5217863654842065e-07,2.0568576446083645e-07,0.9999473834682049,3,0.9999999999999989,True
0.0,0.0,4,4,8.200343733777236,8.440663617614096,0.9763072487523318,2,0.9999626197870097,True
0.0,0.0,5,5,8.200399784814445,8.440705829293464,0.976307191933728,2,0.9999626197870097,True
0.0,0.0,6,7,10.17424519543439,10.032180883909263,0.7133788841548164,2,0.9999626188665306,True
0.0,0.0,7,6,10.174339265130932,10.03199093245851,0.7133786920526615,2,0.9999626188665306,True
0.0,0.0,8,8,11.971285712423752,12.181908674355657,0.9999999668921296,1,0.9999999668921296,False
0.0,0.0,9,9,12.700857074012118,12.70196230226539,0.9999999700822495,1,0.9999999700822495,False
0.0,0.16666666666666666,1,1,1.1175952255884236,1.1374186907359407,0.9999186755441061,1,0.9999186755441061,False
0.0,0.16666666666666666,2,2,1.9244265359060388,1.9974495125957643,0.9999209729326575,1,0.9999209729326577,False
0.0,0.16666666666666666,3,3,3.0354423062890357,3.0418189370215614,0.9999616584204631,1,0.9999616584204629,False
0.0,0.16666666666666666,4,4,8.38074883650939,8.627975862145288,0.9999343468125241,1,0.9999343468125244,False
0.0,0.16666666666666666,5,5,8.88758356536041,9.101351710951999,0.9994799671272117,1,0.9994799671272117,False
0.0,0.16666666666666666,6,6,9.971549230228897,9.949361651013684,0.9998101641675139,1,0.9998101641675139,False
0.0,0.16666666666666666,7,7,10.03919755257215,10.08731458561737,0.9944686711458937,1,0.9944686711458934,False
0.0,0.16666666666666666,8,8,11.979760203469606,12.050140682113964,0.9945584609864894,1,0.9945584609864896,False
0.0,0.16666666666666666,9,9,12.162074085776599,12.077744669586837,0.9995109920677586,1,0.9995109920677588,False
0.0,0.3333333333333333,1,1,3.1645929264350263,3.1345277969502052,0.9970124537408196,1,0.9970124537408198,False
0.0,0.3333333333333333,2,2,3.274386064328949,3.3204128764579925,0.9971868729683712,1,0.9971868729683714,False
0.0,0.3333333333333333,3,3,4.51506442423843,4.699567484235802,0.9994844292954179,1,0.9994844292954175,False
0.0,0.3333333333333333,4,4,8.809714696125534,8.93175780842381,0.999844137111049,1,0.999844137111049,False
0.0,0.3333333333333333,5,5,9.617214708689316,9.791201240792262,0.9995946627014148,1,0.9995946627014146,False
0.0,0.3333333333333333,6,6,9.919541717660412,10.048289240846637,0.9912164848621842,1,0.9912164848621842,False
0.0,0.3333333333333333,7,7,10.216011482913157,10.380018053682019,0.9957586487667788,1,0.9957586487667788,False
0.0,0.3333333333333333,8,8,11.03034141511167,10.841203153052051,0.9913670247221228,1,0.9913670247221228,False
0.0,0.3333333333333333,9,9,11.92325624557658,11.832991654800793,0.9962842271666562,1,0.9962842271666562,False
0.0,0.5,1,1,3.7073680826514357,3.6863711679471356,0.9998209307097805,1,0.9998209307097805,False
0.0,0.5,2,2,4.191758220504954,4.090455330907138,0.9997837374565152,1,0.9997837374565154,False
0.0,0.5,3,3,4.706828524908241,5.071427877967293,0.9995562895432055,1,0.9995562895432053,False
0.0,0.5,4,4,9.015171308796962,9.062681268834941,0.9999049120976445,1,0.9999049120976448,False
0.0,0.5,5,5,9.470800113652023,9.73680771190507,0.9974363887065092,1,0.997436388706509,False
0.0,0.5,6,6,9.88678102266009,10.01082110777954,0.9879320832476943,1,0.9879320832476943,False
