rank,model,qe_pair,ml_pair,qe_phi122_abs,ml_phi122_abs,qe_phi1122,ml_phi1122,qe_stage1_q_thz,ml_stage1_q_thz,qe_pes_q_thz,ml_pes_q_thz,qe_fit_rmse_mev,ml_fit_rmse_mev,q_overlap_squared
1,tece,Gamma_p0_m8__M_q_0.500_0.000_0.000_m9,Gamma_p0_m8__M_q_0.500_0.000_0.000_m9,103.14309578388668,86.40725272042656,8.071985623172207,11.318284638073822,12.339734,11.71249549806247,12.340533327061125,11.698677224500905,0.01637150460382909,0.11620515059692484,0.9996209072217388
1,prophet,Gamma_p0_m8__M_q_0.500_0.000_0.000_m9,Gamma_p0_m8__M_q_0.500_0.000_0.000_m9,103.14309578388668,86.71804155622466,8.071985623172207,11.46324313416743,12.339734,11.82129597710368,12.340533327061125,11.700624581200314,0.01637150460382909,0.11549748372564812,0.9994746083975445
1,equiformer-v3,Gamma_p0_m8__M_q_0.500_0.000_0.000_m9,Gamma_p0_m8__M_q_0.500_0.000_0.000_m9,103.14309578388668,85.75701032365839,8.071985623172207,11.177841497927222,12.339734,11.73187893864727,12.340533327061125,11.70483361581722,0.01637150460382909,0.11503714410890235,0.9984048199007192
2,tece,Gamma_p0_m8__line_q_0.333_0.667_0.000_m9,Gamma_p0_m8__line_q_0.333_0.667_0.000_m9,69.34244903552604,60.31003679548231,3.5305940569852203,5.824497767857263,12.411043,11.823454743028474,12.422960464182683,11.823793313722325,0.060309264685362976,0.07476611315564305,0.9993793258314555
2,prophet,Gamma_p0_m8__line_q_0.333_0.667_0.000_m9,Gamma_p0_m8__line_q_0.333_0.667_0.000_m9,69.34244903552604,60.071890694756945,3.5305940569852203,6.009783063615819,12.411043,11.92334856407315,12.422960464182683,11.836556930699137,0.060309264685362976,0.06929276192940911,0.997297334475219
2,equiformer-v3,Gamma_p0_m8__line_q_0.333_0.667_0.000_m9,Gamma_p0_m8__line_q_0.333_0.667_0.000_m9,69.34244903552604,60.1334163120791,3.5305940569852203,5.835241200972633,12.411043,11.832939437523343,12.422960464182683,11.828817327135285,0.060309264685362976,0.07471591826131321,0.99918302549377
3,tece,Gamma_p0_m8__M_q_0.500_0.000_0.000_m6,Gamma_p0_m8__M_q_0.500_0.000_0.000_m6,57.71933086340952,58.31162588937181,-1.5328118318632795,1.8956709881213027,10.5872,10.07771810433693,10.586585731117193,10.819914725061016,0.018151535608959206,0.012414630337111422,0.9999395414899002
3,prophet,Gamma_p0_m8__M_q_0.500_0.000_0.000_m6,Gamma_p0_m8__M_q_0.500_0.000_0.000_m6,57.71933086340952,53.82843017578365,-1.5328118318632795,1.9322609414855145,10.5872,9.886672066740623,10.586585731117193,10.767459453988808,0.018151535608959206,0.009867830630628214,0.9842560173790846
3,equiformer-v3,Gamma_p0_m8__M_q_0.500_0.000_0.000_m6,Gamma_p0_m8__M_q_0.500_0.000_0.000_m6,57.71933086340952,57.5546264648416,-1.5328118318632795,1.891467036033365,10.5872,10.01082837587361,10.586585731117193,10.80919067308689,0.018151535608959206,0.011962436270615436,0.9968077149980445
4,tece,Gamma_p0_m8__M_q_0.500_0.000_0.000_m5,Gamma_p0_m8__M_q_0.500_0.000_0.000_m5,66.36116955612033,56.82378496442728,8.444726079873622,9.780728087133122,10.427444,9.727323727302878,10.448716830336853,9.155776495991296,0.01637143797062038,0.020968320578727516,0.9999792542036792
4,prophet,Gamma_p0_m8__M_q_0.500_0.000_0.000_m5,Gamma_p0_m8__M_q_0.500_0.000_0.000_m5,66.36116955612033,56.53479439871857,8.444726079873622,9.778392558194867,10.427444,9.470738199351338,10.448716830336853,9.165896407264883,0.01637143797062038,0.021406222746970995,0.9988838251793078
4,equiformer-v3,Gamma_p0_m8__M_q_0.500_0.000_0.000_m5,Gamma_p0_m8__M_q_0.500_0.000_0.000_m5,66.36116955612033,56.74193246023806,8.444726079873622,9.77730264469084,10.427444,9.736785100163926,10.448716830336853,9.169803141143447,0.01637143797062038,0.021969793418672036,0.9971651220266744
5,tece,Gamma_p0_m8__K_q_0.333_0.333_0.000_m9,Gamma_p0_m8__K_q_0.333_0.333_0.000_m9,71.6065918664988,55.86771283831158,3.540812208725985,5.0545517279177234,11.962514,11.411831045985863,11.972008895930438,11.570303308697522,0.07108232716795604,0.07919718383652789,0.9995307421789777
5,prophet,Gamma_p0_m8__K_q_0.333_0.333_0.000_m9,Gamma_p0_m8__K_q_0.333_0.333_0.000_m9,71.6065918664988,55.90128217424906,3.540812208725985,5.161674655213399,11.962514,11.602048166478168,11.972008895930438,11.574506035046403,0.07108232716795604,0.08012522339568512,0.9995049727772514
5,equiformer-v3,Gamma_p0_m8__K_q_0.333_0.333_0.000_m9,Gamma_p0_m8__K_q_0.333_0.333_0.000_m9,71.6065918664988,55.825914655410585,3.540812208725985,4.986821388711538,11.962514,11.32364607612971,11.972008895930438,11.567974703716882,0.07108232716795604,0.07714618155593944,0.9990547634882514
