material,model,geometry,qx,qy,qe_mode,ml_mode,qe_frequency_thz,ml_frequency_thz,frequency_difference_thz,single_overlap_squared,qe_subspace_dimension,subspace_minimum_overlap_squared,gamma_point
mos2,tece,model_relaxed,0.0,0.0,1,2,-0.0,1.2959750758122038e-07,1.2959750758122038e-07,0.9632976373541504,3,0.9999994002585204,True
mos2,tece,model_relaxed,0.0,0.0,2,1,0.0,-3.272816723496781e-07,-3.272816723496781e-07,0.9627609417252717,3,0.9999994002585204,True
mos2,tece,model_relaxed,0.0,0.0,3,3,0.0,3.547536522723084e-07,3.547536522723084e-07,0.9976534297715364,3,0.9999994002585204,True
mos2,tece,model_relaxed,0.0,0.0,4,4,8.676143,8.269533044233745,-0.406609955766255,0.7523493825322446,2,0.9999999996308502,True
mos2,tece,model_relaxed,0.0,0.0,5,5,8.676143,8.269604189387028,-0.4065388106129717,0.7523493822834524,2,0.9999999996308502,True
mos2,tece,model_relaxed,0.0,0.0,6,6,11.753092,11.029403170130935,-0.7236888298690651,0.8467104157126732,2,0.999999988833167,True
mos2,tece,model_relaxed,0.0,0.0,7,7,11.753092,11.029608913381397,-0.7234830866186037,0.846710416295086,2,0.999999988833167,True
mos2,tece,model_relaxed,0.0,0.0,8,8,12.297423,11.834048201388967,-0.46337479861103326,0.9999999854169934,1,0.9999999854169934,True
mos2,tece,model_relaxed,0.0,0.0,9,9,14.294893,13.682527060989832,-0.6123659390101679,0.9999999962776402,1,0.9999999962776402,True
mos2,tece,model_relaxed,0.0,0.16666666666666666,1,1,1.316822,1.34120616163618,0.024384161636179957,0.9999379905940371,1,0.9999379905940371,False
mos2,tece,model_relaxed,0.0,0.16666666666666666,2,2,2.46387,2.337089305067119,-0.12678069493288113,0.9999795309138159,1,0.9999795309138159,False
mos2,tece,model_relaxed,0.0,0.16666666666666666,3,3,3.91324,3.7381430975348215,-0.1750969024651785,0.9998158511622344,1,0.9998158511622346,False
mos2,tece,model_relaxed,0.0,0.16666666666666666,4,4,8.866569,8.408269025997866,-0.4582999740021343,0.99999999888186,1,0.99999999888186,False
mos2,tece,model_relaxed,0.0,0.16666666666666666,5,5,9.343728,8.909113329946717,-0.4346146700532838,0.9997700328391912,1,0.9997700328391916,False
mos2,tece,model_relaxed,0.0,0.16666666666666666,6,6,11.29116,10.667370347175698,-0.6237896528243017,0.9875636641997102,1,0.9875636641997102,False
mos2,tece,model_relaxed,0.0,0.16666666666666666,7,7,11.656381,10.933644889962338,-0.7227361100376619,0.9999795093148857,1,0.9999795093148859,False
mos2,tece,model_relaxed,0.0,0.16666666666666666,8,8,12.464548,11.880329604524269,-0.5842183954757321,0.9873942457857646,1,0.9873942457857646,False
mos2,tece,model_relaxed,0.0,0.16666666666666666,9,9,13.646043,13.029533438980575,-0.6165095610194253,0.9998269624411223,1,0.9998269624411228,False
mos2,tece,model_relaxed,0.0,0.3333333333333333,1,1,3.828916,3.7484149961941475,-0.08050100380585246,0.9996131427160188,1,0.9996131427160188,False
mos2,tece,model_relaxed,0.0,0.3333333333333333,2,2,4.147756,3.9456366271602037,-0.20211937283979653,0.9999162325898041,1,0.9999162325898039,False
mos2,tece,model_relaxed,0.0,0.3333333333333333,3,3,6.455119,6.137331702945705,-0.317787297054295,0.9986378549457655,1,0.9986378549457655,False
mos2,tece,model_relaxed,0.0,0.3333333333333333,4,4,9.177996,8.657222252497808,-0.5207737475021919,0.999999999088925,1,0.999999999088925,False
mos2,tece,model_relaxed,0.0,0.3333333333333333,5,5,10.149005,9.719276311481321,-0.4297286885186793,0.9989394867637071,1,0.9989394867637069,False
mos2,tece,model_relaxed,0.0,0.3333333333333333,6,6,10.724786,10.245863587846257,-0.478922412153743,0.9990070335205871,1,0.9990070335205868,False
mos2,tece,model_relaxed,0.0,0.3333333333333333,7,7,11.377898,10.637150464653825,-0.7407475353461752,0.999916281644684,1,0.999916281644684,False
mos2,tece,model_relaxed,0.0,0.3333333333333333,8,8,12.331607,11.63688050011872,-0.6947264998812805,0.9992845786702627,1,0.9992845786702624,False
mos2,tece,model_relaxed,0.0,0.3333333333333333,9,9,12.539281,11.86848472063751,-0.6707962793624915,0.9982461823814817,1,0.9982461823814817,False
mos2,tece,model_relaxed,0.0,0.5,1,1,4.69579,4.465571326424057,-0.2302186735759424,0.9999352182591892,1,0.9999352182591892,False
mos2,tece,model_relaxed,0.0,0.5,2,2,5.124044,4.9729373022535155,-0.1511066977464841,0.9992599983954725,1,0.9992599983954725,False
mos2,tece,model_relaxed,0.0,0.5,3,3,7.109584,6.788725519852087,-0.32085848014791285,0.9972349091051053,1,0.9972349091051053,False
mos2,tece,model_relaxed,0.0,0.5,4,4,9.312693,8.774515834542935,-0.5381771654570642,0.9999999991617383,1,0.9999999991617381,False
mos2,tece,model_relaxed,0.0,0.5,5,5,10.152188,9.66499727676139,-0.48719072323861035,0.9996353350150962,1,0.9996353350150962,False
mos2,tece,model_relaxed,0.0,0.5,6,6,10.720704,10.301964351824019,-0.41873964817598086,0.9978671109971664,1,0.9978671109971664,False
mos2,tece,model_relaxed,0.0,0.5,7,7,11.223817,10.444874637985135,-0.778942362014865,0.999935158310654,1,0.999935158310654,False
mos2,tece,model_relaxed,0.0,0.5,8,8,11.837592,11.171624741927465,-0.665967258072536,0.9995584729987596,1,0.9995584729987596,False
mos2,tece,model_relaxed,0.0,0.5,9,9,12.50735,11.77880035800533,-0.72854964199467,0.9979798791934881,1,0.9979798791934881,False
mos2,tece,model_relaxed,0.0,0.6666666666666666,1,1,3.828916,3.748414996194152,-0.08050100380584801,0.9996131427160181,1,0.9996131427160181,False
mos2,tece,model_relaxed,0.0,0.6666666666666666,2,2,4.147756,3.945636627160202,-0.2021193728397983,0.9999162272552805,1,0.9999162272552805,False
