qx,qy,reference_mode,candidate_mode,reference_frequency_thz,candidate_frequency_thz,single_overlap_squared,subspace_dimension,subspace_minimum_overlap_squared,basis_dependent
0.0,0.0,1,1,-2.9777676131825337e-07,-9.807908370677027e-08,0.9770323103377703,3,1.0000000000000004,True
0.0,0.0,2,3,-2.529944973923882e-07,1.8941889684904563e-07,0.9486898439074654,3,1.0000000000000004,True
0.0,0.0,3,2,-1.2877126626832537e-07,6.489150749366565e-08,0.927419619001336,3,1.0000000000000004,True
0.0,0.0,4,4,4.854775159411012,4.7724145375300555,0.9662771045155356,2,0.9999973556669088,True
0.0,0.0,5,5,4.854808026381322,4.772448460114752,0.9662771129932041,2,0.9999973556669088,True
0.0,0.0,6,6,7.029902382591678,7.029317729701424,0.9999999964838184,1,0.9999999964838184,False
0.0,0.0,7,8,8.200794412745484,8.092044312585534,0.5905559471752192,2,0.9999973538795704,True
0.0,0.0,8,7,8.200898444061645,8.09196106452476,0.59055593940113,2,0.9999973538795704,True
0.0,0.0,9,9,10.23937711199081,10.21387927281602,0.9999999996195417,1,0.9999999996195419,False
0.0,0.16666666666666666,1,1,1.021426534111098,1.004817678215723,0.9999148672089485,1,0.9999148672089487,False
0.0,0.16666666666666666,2,2,1.695002758738701,1.6558181691965113,0.9999068670216635,1,0.9999068670216635,False
0.0,0.16666666666666666,3,3,2.691817259448048,2.6602067217618584,0.999976194333335,1,0.999976194333335,False
0.0,0.16666666666666666,4,4,4.958974221126941,4.887956971909257,0.9999774960472491,1,0.9999774960472491,False
0.0,0.16666666666666666,5,5,5.3689923240123685,5.294109393187556,0.9999783127167675,1,0.9999783127167673,False
0.0,0.16666666666666666,6,6,6.686686792951677,6.679086893220215,0.9994172601424788,1,0.9994172601424786,False
0.0,0.16666666666666666,7,7,8.202886349899588,8.044701877419312,0.9999861622894618,1,0.9999861622894618,False
0.0,0.16666666666666666,8,8,8.34529154375689,8.258003412903292,0.9994215735210261,1,0.9994215735210261,False
0.0,0.16666666666666666,9,9,9.851338563911444,9.794608741030443,0.9999825849390498,1,0.99998258493905,False
0.0,0.3333333333333333,1,1,2.753751222108816,2.7258884638587144,0.9597805925299205,1,0.9597805925299203,False
0.0,0.3333333333333333,2,2,2.815567295583642,2.77053018062501,0.9597843002843985,1,0.9597843002843985,False
0.0,0.3333333333333333,3,3,4.3304248190717685,4.242048270727877,0.9996732477805941,1,0.9996732477805941,False
0.0,0.3333333333333333,4,4,5.153961752895715,5.0819020783124955,0.9998533831671879,1,0.9998533831671876,False
0.0,0.3333333333333333,5,5,5.910404535543714,5.855347335289038,0.9996321075513895,1,0.9996321075513891,False
0.0,0.3333333333333333,6,6,6.251176969689556,6.18951611723056,0.9991406825882668,1,0.9991406825882668,False
0.0,0.3333333333333333,7,7,8.090608020673551,7.9380260184310485,0.9995700626715736,1,0.9995700626715736,False
0.0,0.3333333333333333,8,8,8.458097204755644,8.389164555718468,0.9991280599265788,1,0.999128059926579,False
0.0,0.3333333333333333,9,9,8.979390748523404,8.895457376313674,0.9992542434349629,1,0.9992542434349629,False
0.0,0.5,1,1,3.050607522303348,3.0295472512195682,0.9997179942705365,1,0.9997179942705365,False
0.0,0.5,2,2,3.8010028171039134,3.750122366459479,0.9997106074108679,1,0.9997106074108679,False
0.0,0.5,3,3,4.657051528639552,4.487469872645556,0.9987290286949154,1,0.9987290286949152,False
0.0,0.5,4,4,5.246958929702822,5.168866343287529,0.9995838783064261,1,0.9995838783064261,False
0.0,0.5,5,5,5.878886776446638,5.836013707876236,0.9995429421466601,1,0.9995429421466603,False
0.0,0.5,6,6,6.29244539403262,6.244937302979131,0.9993225652456404,1,0.9993225652456404,False
0.0,0.5,7,7,7.977349734359527,7.861995733546522,0.9983680200456486,1,0.9983680200456486,False
0.0,0.5,8,8,8.476869077905478,8.406240844855857,0.9992039029250224,1,0.9992039029250221,False
0.0,0.5,9,9,8.568130187244607,8.477376103954795,0.9980792193099719,1,0.9980792193099717,False
0.0,0.6666666666666666,1,1,2.753751222108817,2.7258884638587157,0.95978059252993,1,0.95978059252993,False
0.0,0.6666666666666666,2,2,2.8155672955836444,2.7705301806250096,0.9597843002844094,1,0.9597843002844092,False
0.0,0.6666666666666666,3,3,4.330424819071766,4.24204827072788,0.999673247780595,1,0.999673247780595,False
0.0,0.6666666666666666,4,4,5.153961752895713,5.081902078312496,0.9998533831671887,1,0.9998533831671885,False
0.0,0.6666666666666666,5,5,5.910404535543712,5.855347335289038,0.9996321075513878,1,0.9996321075513878,False
0.0,0.6666666666666666,6,6,6.251176969689556,6.189516117230559,0.9991406825882673,1,0.9991406825882673,False
0.0,0.6666666666666666,7,7,8.090608020673551,7.93802601843105,0.9995700626715749,1,0.9995700626715747,False
0.0,0.6666666666666666,8,8,8.458097204755644,8.389164555718471,0.9991280599265777,1,0.9991280599265777,False
0.0,0.6666666666666666,9,9,8.979390748523405,8.89545737631368,0.9992542434349623,1,0.9992542434349625,False
0.0,0.8333333333333334,1,1,1.0214265341110855,1.0048176782157354,0.9999148672089483,1,0.9999148672089487,False
0.0,0.8333333333333334,2,2,1.6950027587386938,1.6558181691965161,0.9999068670216624,1,0.9999068670216624,False
0.0,0.8333333333333334,3,3,2.691817259448047,2.660206721761855,0.9999761943333361,1,0.9999761943333358,False
0.0,0.8333333333333334,4,4,4.958974221126942,4.887956971909259,0.9999774960472493,1,0.9999774960472495,False
0.0,0.8333333333333334,5,5,5.368992324012368,5.294109393187554,0.9999783127167671,1,0.9999783127167671,False
0.0,0.8333333333333334,6,6,6.686686792951678,6.679086893220218,0.999417260142479,1,0.999417260142479,False
0.0,0.8333333333333334,7,7,8.202886349899588,8.044701877419312,0.9999861622894609,1,0.9999861622894607,False
0.0,0.8333333333333334,8,8,8.345291543756892,8.258003412903292,0.9994215735210272,1,0.9994215735210272,False
0.0,0.8333333333333334,9,9,9.851338563911446,9.794608741030443,0.999982584939052,1,0.999982584939052,False
0.16666666666666666,0.0,1,1,1.021404693203746,1.0046904675518558,0.9999142217051042,1,0.9999142217051042,False
0.16666666666666666,0.0,2,2,1.6948459040275223,1.655749694568978,0.9999062679313628,1,0.9999062679313626,False
0.16666666666666666,0.0,3,3,2.6919548616487305,2.6601201261186938,0.9999761389126071,1,0.9999761389126068,False
0.16666666666666666,0.0,4,4,4.958946831907187,4.887943857347666,0.999977638695961,1,0.9999776386959612,False
0.16666666666666666,0.0,5,5,5.36899328924019,5.2940865780651745,0.9999782525590329,1,0.9999782525590327,False
0.16666666666666666,0.0,6,6,6.68667195323854,6.67905742366547,0.9994178389438684,1,0.9994178389438684,False
0.16666666666666666,0.0,7,7,8.202783766582908,8.044724583536912,0.9999859427206034,1,0.9999859427206036,False
0.16666666666666666,0.0,8,8,8.345296888677023,8.25796656441841,0.9994219446105204,1,0.9994219446105204,False
0.16666666666666666,0.0,9,9,9.851325102859795,9.794585226610991,0.9999825551286741,1,0.9999825551286741,False
0.16666666666666666,0.16666666666666666,1,1,2.2946096685410198,2.2580292779127955,0.9999075322183876,1,0.999907532218388,False
0.16666666666666666,0.16666666666666666,2,2,2.9065114411486905,2.861651746888056,0.9998676098778095,1,0.9998676098778098,False
0.16666666666666666,0.16666666666666666,3,3,3.793232174383474,3.7681580267678836,0.9998768042604548,1,0.9998768042604548,False
0.16666666666666666,0.16666666666666666,4,4,5.1891320875625135,5.121464262898205,0.9999029890693094,1,0.9999029890693094,False
0.16666666666666666,0.16666666666666666,5,5,5.796401716696219,5.737470101665871,0.9997877427327414,1,0.9997877427327416,False
0.16666666666666666,0.16666666666666666,6,6,6.275380628929506,6.241388967686909,0.9994152733801214,1,0.9994152733801214,False
0.16666666666666666,0.16666666666666666,7,7,8.208619497380631,8.058904205341756,0.9131929019578178,1,0.9131929019578178,False
0.16666666666666666,0.16666666666666666,8,8,8.39046260615935,8.289981422896911,0.9134745264637254,1,0.9134745264637254,False
0.16666666666666666,0.16666666666666666,9,9,9.198471273147083,9.120913262722713,0.9997789485490441,1,0.9997789485490437,False
