material,model,qe_pair,qe_phi122,qe_phi1122,qe_gamma_thz,qe_q_thz,legacy_to_unit_norm_scale,phi122,phi1122,stage1_gamma_thz,stage1_q_thz,stage2_gamma_thz,stage2_q_thz,fit_center_rmse_ev,fit_wide_rmse_ev,gamma_overlap2,q_overlap2,q_subspace_dimension,phi111,phi112,phi222,c10_ev,c01_ev,wide_phi122,wide_phi1122,energy_accumulation,grid_points,inference_seconds,grid_min_q1,grid_min_q2,phi122_error,phi122_relative_error_percent,phi1122_error
mos2,qe-ms,Gamma_p0_m8__M_q_0.500_0.000_0.000_m9,106.13408735786474,8.453436797996394,12.297423,12.50735,1.0000006819638199,98.42971974823244,,12.297423,12.50735,12.32333540754437,12.563977044140492,,0.010053285296996688,1.0,1.0,,,,,,,,,archived_original,,,,,-7.7043676096323,-7.2590887634945975,
mos2,tece,Gamma_p0_m8__M_q_0.500_0.000_0.000_m9,106.13408735786474,8.453436797996394,12.297423,12.50735,1.0000006819638199,88.87721470424,13.511502012914567,11.834048201388967,11.778821861819175,11.767300975935534,11.824462284176729,0.00012309771782916966,0.001095712121085315,0.9999999854169932,0.9979794966575227,1,-95.9022521972609,0.000980922155420754,-0.015640258780809737,0.001291238693964859,1.932325818774956e-06,88.97456971425862,7.229398955929945,atomic_float32_sum_float64_v2,81,4.918773960554972,0.0,0.0,-17.25687265362474,-16.259500678078776,5.058065214918173
mos2,prophet,Gamma_p0_m8__M_q_0.500_0.000_0.000_m9,106.13408735786474,8.453436797996394,12.297423,12.50735,1.0000006819638199,89.42304338727567,13.607414401307693,11.65598309212374,11.94063113362531,11.767919512657222,11.814861736457287,0.0001234025470244065,0.001138918180214453,0.9999999567713265,0.9962299622095939,1,-96.05789184569831,0.0021798270104526726,-0.01678466796055571,-0.0003044627961649049,2.2524879106862127e-06,89.42919259119513,7.109470188352729,atomic_float32_sum_float64_v2,81,4.657309811329469,0.0,0.0,-16.711043970589074,-15.745218512354553,5.153977603311299
mos2,equiformer-v3,Gamma_p0_m8__M_q_0.500_0.000_0.000_m9,106.13408735786474,8.453436797996394,12.297423,12.50735,1.0000006819638199,88.72473580496734,13.349572006537358,11.856160898077976,11.788542752555315,11.767328861045785,11.826431127386572,0.00012463022747532723,0.0010732335573769589,0.9999999976956966,0.996856544730775,1,95.81489562988745,0.0031607491643645437,-0.00724792479656922,-0.002671884355089897,4.654838940332352e-07,88.8944262549992,7.26542561574417,atomic_float32_sum_float64_v2,81,4.307925449451432,0.0,0.0,-17.409351552897405,-16.403166961992383,4.896135208540963
mos2,qe-ms,Gamma_p0_m8__M_q_0.500_0.000_0.000_m8,98.76601380339066,8.554010690251433,12.297423,11.837592,0.9999997103831377,97.68237963363728,,12.297423,11.837592,12.32333540754437,12.586709068106472,,0.003325257985881294,1.0,1.0,,,,,,,,,archived_original,,,,,-1.0836341697533811,-1.0971731347895906,
mos2,tece,Gamma_p0_m8__M_q_0.500_0.000_0.000_m8,98.76601380339066,8.554010690251433,12.297423,11.837592,0.9999997103831377,83.03702218191847,7.574276048309681,11.834048201388967,11.171675825679428,11.763329027308387,11.687446112468388,9.99951240977016e-06,0.0004320152424790556,0.9999999854169932,0.9995581502911368,1,-91.63818359374534,0.0009809221555036097,0.002670288094253618,0.0006247429620660976,-8.3332969888761e-07,82.34210282693186,6.148497790818164,atomic_float32_sum_float64_v2,81,4.403393492102623,0.0,0.0,-15.72899162147219,-15.925510219318186,-0.9797346419417519
mos2,prophet,Gamma_p0_m8__M_q_0.500_0.000_0.000_m8,98.76601380339066,8.554010690251433,12.297423,11.837592,0.9999997103831377,84.14737156459174,7.392260493064795,11.65598309212374,11.391711954731038,11.763676568563838,11.686802423221401,1.0594055975949205e-05,0.00047335326144304135,0.9999999567713265,0.9982732500668575,1,-91.82395935058128,0.001253400531421292,-0.004959106437238634,-0.000970384052820626,1.7938159909765026e-07,83.2776207256454,5.871256422628424,atomic_float32_sum_float64_v2,81,4.398505331715569,0.0,0.0,-14.618642238798927,-14.801288090759279,-1.1617501971866382
mos2,equiformer-v3,Gamma_p0_m8__M_q_0.500_0.000_0.000_m8,98.76601380339066,8.554010690251433,12.297423,11.837592,0.9999997103831377,83.41930934361145,7.558550153459853,11.856160898077976,11.050786720246654,11.762929991537963,11.704962765046423,1.0784413934319164e-05,0.00044425905350158117,0.9999999976956966,0.9988411092108298,1,91.45965576172343,-5.4495673787581047e-05,-0.007629394523156286,-0.001986317407516224,1.3805571071618275e-06,82.69374621722967,6.107899299149732,atomic_float32_sum_float64_v2,81,4.534742855699733,0.0,0.0,-15.346704459779218,-15.538446747814746,-0.9954605367915796
mos2,qe-ms,Gamma_p0_m8__M_q_0.500_0.000_0.000_m7,78.02281895945994,9.81369290674895,12.297423,11.223817,1.000000405819434,81.33896995088807,,12.297423,11.223817,12.32333540754437,10.617276385425173,,0.003836776425700452,1.0,1.0,,,,,,,,,archived_original,,,,,3.316150991428131,4.250232221359726,
mos2,tece,Gamma_p0_m8__M_q_0.500_0.000_0.000_m7,78.02281895945994,9.81369290674895,12.297423,11.223817,1.000000405819434,69.11332266671228,11.730739048548655,11.834048201388967,10.44479357396968,11.762332093241541,9.857442798336269,2.131876839617047e-05,0.0005142158588171636,0.9999999854169932,0.9999350015469416,1,-92.10777282714504,0.00016348702704676598,-0.001525878898627111,0.0007122925349650747,3.088088275683601e-07,70.1162424954501,11.049920674713832,atomic_float32_sum_float64_v2,81,3.5628383869770914,0.0,0.0,-8.909496292747662,-11.419090480923238,1.9170461417997053
mos2,prophet,Gamma_p0_m8__M_q_0.500_0.000_0.000_m7,78.02281895945994,9.81369290674895,12.297423,11.223817,1.000000405819434,68.8316890171589,11.704269720583888,11.65598309212374,10.169500644806698,11.76336812949769,9.85631296605127,2.0856577815826593e-05,0.0005101100472730566,0.9999999567713265,0.9944924108432767,2,-92.2492980956998,0.0008174351296325811,0.005722045905697413,-0.0008900188264385774,-1.566750648895452e-07,69.84292961990333,11.027760458404313,atomic_float32_sum_float64_v2,81,3.645998145453632,0.0,0.0,-9.191129942301046,-11.780053662348045,1.8905768138349384
mos2,equiformer-v3,Gamma_p0_m8__M_q_0.500_0.000_0.000_m7,78.02281895945994,9.81369290674895,12.297423,11.223817,1.000000405819434,69.20967102050841,11.748489068479195,11.856160898077976,10.374431296941117,11.762989098318661,9.864162912042282,2.0857990637715777e-05,0.0005197102002665768,0.9999999976956966,0.9991393969073348,1,91.94183349609683,-0.00016348702438380943,-0.0038146972578714947,-0.002075862884520753,-1.8165224939250037e-07,70.23245369717168,11.081037397865867,atomic_float32_sum_float64_v2,81,4.50324930017814,0.0,0.0,-8.81314793895153,-11.295603076749606,1.9347961617302456
