rank,pair_code,coupling_type,point_label,qx,qy,qz,n_super,gamma_mode_code,gamma_mode_number,gamma_freq_ref_thz,gamma_freq_fit_thz,target_mode_code,target_mode_number,target_freq_ref_thz,target_freq_fit_thz,phi122_mev,phi112_mev,r2,rmse_ev_supercell,elapsed_sec,source_stage
43,Gamma_p0_m9__line_q_0.000_0.167_0.000_m8,Q_gamma*Q_q*Q_-q,line,0.000000,0.166667,0.000000,6,Gamma_p0_m9,9,9.386886,8.205869,line_p1_m8,8,7.950563,4.847090,-0.000000,0.205994,-6.728127,0.591610,0.516162,screening_coarse
44,Gamma_p0_m9__line_q_0.333_0.667_0.000_m1,Q_gamma*Q_q*Q_-q,line,0.333333,0.666667,0.000000,3,Gamma_p0_m9,9,9.386886,7.762306,line_p4_m1,1,2.679820,1.448345,-0.000000,0.000000,-5.116705,0.488982,0.144353,screening_coarse
45,Gamma_p0_m9__line_q_0.000_0.167_0.000_m1,Q_gamma*Q_q*Q_-q,line,0.000000,0.166667,0.000000,6,Gamma_p0_m9,9,9.386886,8.205869,line_p1_m1,1,0.995312,0.557190,-0.000000,-0.000000,-6.031766,0.536803,0.661458,screening_coarse
46,Gamma_p0_m9__line_q_0.333_0.667_0.000_m6,Q_gamma*Q_q*Q_-q,line,0.333333,0.666667,0.000000,3,Gamma_p0_m9,9,9.386886,7.762306,line_p4_m6,6,6.717511,4.687472,-0.000000,1.390457,-6.329217,0.541633,0.145676,screening_coarse
47,Gamma_p0_m9__line_q_0.333_0.667_0.000_m2,Q_gamma*Q_q*Q_-q,line,0.333333,0.666667,0.000000,3,Gamma_p0_m9,9,9.386886,7.762306,line_p4_m2,2,2.743586,1.609554,-0.000000,-0.000000,-5.104182,0.488095,0.143715,screening_coarse
48,Gamma_p0_m9__K_q_0.333_0.333_0.000_m2,Q_gamma*Q_q*Q_-q,K,0.333333,0.333333,0.000000,3,Gamma_p0_m9,9,9.386886,7.762306,K_p3_m2,2,3.711423,2.247970,-0.000000,0.000000,-5.567862,0.502945,0.242654,screening_coarse
49,Gamma_p0_m9__K_q_0.333_0.333_0.000_m1,Q_gamma*Q_q*Q_-q,K,0.333333,0.333333,0.000000,3,Gamma_p0_m9,9,9.386886,7.762306,K_p3_m1,1,2.992037,2.364620,-0.000000,-0.308990,-5.428368,0.499708,0.149042,screening_coarse
50,Gamma_p0_m9__line_q_0.000_0.167_0.000_m2,Q_gamma*Q_q*Q_-q,line,0.000000,0.166667,0.000000,6,Gamma_p0_m9,9,9.386886,8.205869,line_p1_m2,2,1.656270,0.849476,-0.000000,0.000000,-6.011452,0.536804,0.786203,screening_coarse
51,Gamma_p0_m9__K_q_0.333_0.333_0.000_m5,Q_gamma*Q_q*Q_-q,K,0.333333,0.333333,0.000000,3,Gamma_p0_m9,9,9.386886,7.762306,K_p3_m5,5,6.436377,4.502583,-0.000000,-0.823975,-5.972893,0.526329,0.144624,screening_coarse
52,Gamma_p0_m5__line_q_0.333_0.667_0.000_m9,Q_gamma*Q_q*Q_-q,line,0.333333,0.666667,0.000000,3,Gamma_p0_m5,5,5.286200,3.697679,line_p4_m9,9,8.194203,4.758646,-0.000000,-0.000000,-6.690518,0.217846,0.274193,screening_coarse
53,Gamma_p0_m9__line_q_0.333_0.667_0.000_m4,Q_gamma*Q_q*Q_-q,line,0.333333,0.666667,0.000000,3,Gamma_p0_m9,9,9.386886,7.762306,line_p4_m4,4,5.706591,3.173992,-0.000000,-0.000000,-5.152094,0.491949,0.146787,screening_coarse
54,Gamma_p0_m5__line_q_0.333_0.667_0.000_m8,Q_gamma*Q_q*Q_-q,line,0.333333,0.666667,0.000000,3,Gamma_p0_m5,5,5.286200,3.697679,line_p4_m8,8,8.113730,4.610085,-0.000000,-0.926971,-6.706877,0.209698,0.150774,screening_coarse
55,Gamma_p0_m9__line_q_0.333_0.667_0.000_m5,Q_gamma*Q_q*Q_-q,line,0.333333,0.666667,0.000000,3,Gamma_p0_m9,9,9.386886,7.762306,line_p4_m5,5,6.513988,3.752304,-0.000000,0.000000,-5.748630,0.518321,0.146734,screening_coarse
56,Gamma_p0_m9__line_q_0.000_0.167_0.000_m5,Q_gamma*Q_q*Q_-q,line,0.000000,0.166667,0.000000,6,Gamma_p0_m9,9,9.386886,8.205869,line_p1_m5,5,5.868485,3.451805,-0.000000,0.000000,-6.372149,0.549592,0.542421,screening_coarse
57,Gamma_p0_m9__K_q_0.333_0.333_0.000_m4,Q_gamma*Q_q*Q_-q,K,0.333333,0.333333,0.000000,3,Gamma_p0_m9,9,9.386886,7.762306,K_p3_m4,4,6.296926,3.558923,-0.000000,0.000000,-6.050628,0.527717,0.151321,screening_coarse
58,Gamma_p0_m5__line_q_0.333_0.667_0.000_m5,Q_gamma*Q_q*Q_-q,line,0.333333,0.666667,0.000000,3,Gamma_p0_m5,5,5.286200,3.697679,line_p4_m5,5,6.513988,3.752304,-0.000000,-0.000000,-7.491253,0.155646,0.220676,screening_coarse
59,Gamma_p0_m5__line_q_0.333_0.667_0.000_m6,Q_gamma*Q_q*Q_-q,line,0.333333,0.666667,0.000000,3,Gamma_p0_m5,5,5.286200,3.697679,line_p4_m6,6,6.717511,4.687472,-0.000000,0.772476,-8.924342,0.223613,0.145370,screening_coarse
60,Gamma_p0_m5__line_q_0.333_0.667_0.000_m4,Q_gamma*Q_q*Q_-q,line,0.333333,0.666667,0.000000,3,Gamma_p0_m5,5,5.286200,3.697679,line_p4_m4,4,5.706591,3.173992,-0.000000,-0.000000,-10.756366,0.146186,0.147753,screening_coarse
61,Gamma_p0_m5__line_q_0.333_0.667_0.000_m7,Q_gamma*Q_q*Q_-q,line,0.333333,0.666667,0.000000,3,Gamma_p0_m5,5,5.286200,3.697679,line_p4_m7,7,7.401886,3.868193,-0.000000,0.000000,-9.688272,0.174116,0.149488,screening_coarse
62,Gamma_p0_m9__K_q_0.333_0.333_0.000_m3,Q_gamma*Q_q*Q_-q,K,0.333333,0.333333,0.000000,3,Gamma_p0_m9,9,9.386886,7.762306,K_p3_m3,3,4.254427,2.620264,-0.000000,-0.772476,-6.085905,0.523735,0.165991,screening_coarse
63,Gamma_p0_m9__line_q_0.000_0.167_0.000_m7,Q_gamma*Q_q*Q_-q,line,0.000000,0.166667,0.000000,6,Gamma_p0_m9,9,9.386886,8.205869,line_p1_m7,7,7.492875,4.166605,-0.000000,0.000000,-6.838477,0.572024,0.501513,screening_coarse
